pert_id,pert_iname,n_signatures,median_connectivity,mean_connectivity,best_connectivity,worst_connectivity,n_negative_signatures
BRD-A27489425,rolitetracycline,2,-0.31209278,-0.31209278,-0.32468152,-0.29950404,2
BRD-K52459643,alprostadil,6,-0.31187708999999997,-0.29996506,-0.3221125,-0.25592506,6
BRD-K61341215,vecuronium,6,-0.31176697,-0.308786625,-0.4263388,-0.21946916,6
BRD-K50938287,sumatriptan,9,-0.3116343,-0.29798564,-0.3690412,-0.21727407,9
BRD-K38903228,hesperidin,4,-0.31162181499999997,-0.31436131,-0.40378904,-0.23041257,4
BRD-A22032524,amlodipine,7,-0.31149313,-0.29781136999999996,-0.35367376,-0.23516563,7
BRD-K88679075,methandriol,1,-0.31145936,-0.31145936,-0.31145936,-0.31145936,1
BRD-A51382177,fosinopril,3,-0.31136924,-0.2811947066666667,-0.3145453,-0.21766958,3
BRD-K60060639,N-methyllidocaine-iodide,6,-0.31134705,-0.29295261666666667,-0.33808267,-0.21686512,6
BRD-K86958018,olvanil,2,-0.31133798,-0.31133798,-0.31176633,-0.31090963,2
BRD-K37720887,SB-525334,10,-0.311291755,-0.30623075699999996,-0.41871357,-0.20462205,10
BRD-K67445247,flurofamide,6,-0.31128244,-0.28231634,-0.3409879,-0.19792987,6
BRD-K42500029,CGP-57380,3,-0.31117094,-0.2983024633333333,-0.3376708,-0.24606565,3
BRD-A64227845,SKF-77434,3,-0.31116706,-0.31857731,-0.35228163,-0.29228324,3
BRD-K27450477,EHNA,2,-0.31112565999999997,-0.31112565999999997,-0.34077322,-0.2814781,2
BRD-K06080977,eicosatetraynoic-acid,4,-0.311114165,-0.2943196925,-0.34153298,-0.21351746,4
BRD-K18619710,digoxigenin,3,-0.31087804,-0.28993476333333335,-0.32420158,-0.23472467,3
BRD-K43764301,dexketoprofen,4,-0.310833635,-0.30574515,-0.3664468,-0.23486653,4
